Swap,ETH -> USDT,,,,,,
,,,,,,,
,,sushi,uni,,,,
,reserveIn,11331.5068,26061.75441,,,,
,reserveOut,27647537.35,63398606.2,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
amountIn (eth),amountOut (usdt),Ca,Cb,Cf,Cg,arb amount (usdt),mev (usdt)
630,1452027.684,7.538E+17,6.82701E+17,7.10987E+16,37873414559,915392.99,46485.67
640,1473847.086,7.5443E+17,6.82132E+17,7.22975E+16,37883354649,930185.89,48052.87
650,1495630.17,7.5506E+17,6.81565E+17,7.34954E+16,37893294739,944946.00,49644.29
660,1517377.026,7.5569E+17,6.80998E+17,7.46924E+16,37903234829,959673.43,51259.87
670,1539087.745,7.5632E+17,6.80432E+17,7.58884E+16,37913174919,974368.26,52899.51
680,1560762.416,7.56951E+17,6.79867E+17,7.70834E+16,37923115009,989030.57,54563.15
690,1582401.129,7.57581E+17,6.79303E+17,7.82776E+16,37933055099,1003660.46,56250.68
700,1604003.974,7.58211E+17,6.7874E+17,7.94708E+16,37942995189,1018258.01,57962.05
710,1625571.04,7.58841E+17,6.78178E+17,8.0663E+16,37952935279,1032823.31,59697.16
720,1647102.415,7.59471E+17,6.77617E+17,8.18544E+16,37962875369,1047356.44,61455.94
730,1668598.188,7.60102E+17,6.77057E+17,8.30448E+16,37972815459,1061857.49,63238.30
740,1690058.447,7.60732E+17,6.76497E+17,8.42343E+16,37982755549,1076326.55,65044.18
750,1711483.28,7.61362E+17,6.75939E+17,8.54228E+16,37992695639,1090763.70,66873.48
760,1732872.775,7.61992E+17,6.75382E+17,8.66104E+16,38002635729,1105169.02,68726.13
770,1754227.02,7.62622E+17,6.74825E+17,8.77972E+16,38012575819,1119542.61,70602.05
780,1775546.101,7.63252E+17,6.74269E+17,8.8983E+16,38022515909,1133884.54,72501.17
790,1796830.104,7.63883E+17,6.73715E+17,9.01678E+16,38032455999,1148194.91,74423.40
800,1818079.118,7.64513E+17,6.73161E+17,9.13518E+16,38042396089,1162473.79,76368.67
810,1839293.227,7.65143E+17,6.72608E+17,9.25349E+16,38052336179,1176721.26,78336.91
820,1860472.517,7.65773E+17,6.72056E+17,9.3717E+16,38062276269,1190937.42,80328.02
830,1881617.075,7.66403E+17,6.71505E+17,9.48983E+16,38072216359,1205122.35,82341.95
840,1902726.986,7.67034E+17,6.70955E+17,9.60786E+16,38082156449,1219276.12,84378.60
850,1923802.335,7.67664E+17,6.70406E+17,9.72581E+16,38092096539,1233398.83,86437.91
860,1944843.206,7.68294E+17,6.69857E+17,9.84366E+16,38102036629,1247490.54,88519.80
870,1965849.684,7.68924E+17,6.6931E+17,9.96143E+16,38111976719,1261551.36,90624.19
880,1986821.854,7.69554E+17,6.68763E+17,1.00791E+17,38121916809,1275581.35,92751.01
890,2007759.799,7.70185E+17,6.68218E+17,1.01967E+17,38131856899,1289580.60,94900.18
900,2028663.603,7.70815E+17,6.67673E+17,1.03142E+17,38141796989,1303549.19,97071.63
910,2049533.349,7.71445E+17,6.67129E+17,1.04316E+17,38151737079,1317487.20,99265.28
920,2070369.122,7.72075E+17,6.66586E+17,1.05489E+17,38161677169,1331394.71,101481.06
930,2091171.003,7.72705E+17,6.66044E+17,1.06662E+17,38171617259,1345271.81,103718.90
940,2111939.075,7.73335E+17,6.65502E+17,1.07833E+17,38181557349,1359118.57,105978.71
950,2132673.421,7.73966E+17,6.64962E+17,1.09004E+17,38191497439,1372935.07,108260.44
960,2153374.122,7.74596E+17,6.64423E+17,1.10173E+17,38201437529,1386721.40,110564.00
970,2174041.261,7.75226E+17,6.63884E+17,1.11342E+17,38211377619,1400477.63,112889.32
980,2194674.919,7.75856E+17,6.63346E+17,1.1251E+17,38221317709,1414203.83,115236.32
990,2215275.177,7.76486E+17,6.62809E+17,1.13677E+17,38231257799,1427900.10,117604.95
1000,2235842.116,7.77117E+17,6.62273E+17,1.14843E+17,38241197889,1441566.51,119995.12
